domain,price_usd,sale_year,tld
health953.io,39305,2018,io
smart941.com,9401,2024,com
data326.com,7192,2021,com
smart594.com,9561,2018,com
ai302.io,63151,2015,io
data792.ai,51553,2023,ai
block349.ai,91343,2023,ai
health784.com,10293,2019,com
health250.net,14542,2017,net
neural933.ai,82131,2025,ai
data231.tech,62334,2020,tech
quant908.net,55904,2022,net
quant527.com,43145,2016,com
quant71.net,50133,2015,net
quant44.io,100260,2020,io
future964.com,7526,2015,com
fin154.ai,55242,2017,ai
health958.org,14313,2015,org
web176.com,7509,2016,com
ai52.io,119398,2020,io
block390.net,54860,2018,net
quant149.org,62919,2023,org
crypto784.org,44774,2020,org
block978.net,54799,2017,net
future674.tech,55958,2022,tech
health146.org,6015,2018,org
block163.com,71918,2025,com
health949.io,45894,2020,io
health503.com,7018,2021,com
block507.com,80605,2018,com
crypto999.org,74208,2023,org
health656.tech,58681,2021,tech
health767.tech,33330,2018,tech
data703.tech,41431,2025,tech
ai639.org,75962,2023,org
data234.tech,26804,2015,tech
future716.ai,35944,2019,ai
health601.com,13651,2015,com
fin785.io,51441,2019,io
neural569.net,53275,2016,net
future386.io,55525,2015,io
future171.io,30284,2018,io
crypto211.com,67357,2015,com
future194.com,13444,2018,com
fin743.com,8641,2016,com
health326.io,48819,2021,io
health965.org,9372,2022,org
ai257.io,95013,2025,io
data361.ai,37269,2024,ai
block926.net,45291,2023,net
smart561.tech,53136,2021,tech
crypto638.io,98444,2022,io
future771.org,14247,2015,org
health412.org,13594,2018,org
health570.tech,27112,2025,tech
ai842.io,71749,2015,io
neural257.tech,87074,2023,tech
fin255.io,58159,2024,io
block180.com,88464,2021,com
crypto86.tech,88260,2020,tech
health653.com,13527,2020,com
data495.ai,52977,2016,ai
web754.tech,29112,2015,tech
health465.io,36105,2025,io
block38.io,72184,2018,io
health484.org,10043,2020,org
quant832.net,70470,2017,net
quant192.tech,120288,2019,tech
cloud371.tech,43293,2024,tech
data153.ai,51965,2022,ai
fin445.ai,24945,2021,ai
future953.ai,29875,2024,ai
quant427.tech,121200,2020,tech
quant237.org,77002,2018,org
block677.ai,77611,2021,ai
quant259.com,75970,2015,com
neural511.org,58762,2016,org
block401.com,68633,2023,com
neural929.net,65824,2018,net
data413.tech,41702,2016,tech
ai141.org,39123,2025,org
smart684.com,13067,2025,com
quant360.net,55185,2025,net
block822.org,48528,2022,org
smart822.tech,48743,2016,tech
smart308.com,10586,2021,com
data375.net,12319,2025,net
neural534.ai,104075,2015,ai
neural196.net,74311,2020,net
smart424.tech,28841,2021,tech
neural905.org,59196,2022,org
neural109.org,83480,2021,org
smart147.ai,47356,2023,ai
block838.io,107899,2020,io
web507.tech,39525,2020,tech
fin381.tech,28943,2020,tech
quant169.io,84975,2023,io
smart658.tech,57276,2017,tech
future707.org,8797,2017,org
health551.tech,33901,2019,tech
future967.ai,33383,2019,ai
smart632.tech,33339,2023,tech
web701.net,10672,2020,net
cloud733.ai,38950,2016,ai
data121.com,13711,2016,com
fin759.org,8603,2018,org
ai92.tech,133458,2021,tech
cloud318.com,14771,2024,com
future502.com,8938,2016,com
smart142.net,12144,2023,net
data262.org,8935,2019,org
neural282.tech,91340,2025,tech
smart923.org,14790,2019,org
cloud563.net,12489,2018,net
data219.io,36111,2015,io
crypto392.ai,74725,2017,ai
health356.org,14489,2017,org
health853.com,12789,2022,com
web859.ai,26856,2025,ai
neural442.com,69811,2024,com
web684.tech,31716,2017,tech
block948.io,90273,2023,io
crypto993.io,93028,2023,io
data749.tech,54175,2019,tech
web591.net,14721,2021,net
web347.tech,30580,2015,tech
quant366.io,130421,2020,io
data688.ai,29007,2023,ai
health996.tech,53646,2022,tech
data714.tech,37809,2017,tech
smart133.net,13578,2016,net
future21.tech,54617,2023,tech
smart44.tech,21908,2017,tech
quant910.net,71912,2018,net
crypto184.tech,73177,2020,tech
fin968.io,24327,2019,io
web673.io,55673,2016,io
quant824.org,66945,2017,org
smart219.net,6064,2017,net
future174.net,14288,2022,net
block192.io,96423,2021,io
data362.tech,46068,2023,tech
health336.ai,40546,2024,ai
neural999.com,62335,2023,com
neural568.net,43974,2025,net
smart771.net,6826,2022,net
neural360.tech,78843,2021,tech
cloud793.net,8421,2020,net
data895.org,5420,2019,org
cloud26.org,6225,2025,org
cloud311.org,8130,2019,org
fin598.net,5067,2025,net
block437.net,48992,2021,net
future631.com,8537,2015,com
block38.com,60162,2016,com
fin564.io,50921,2018,io
fin33.net,14905,2018,net
smart275.com,10315,2015,com
future547.tech,44472,2025,tech
web308.org,5890,2021,org
cloud711.com,12120,2025,com
ai371.tech,62249,2019,tech
web703.net,13640,2017,net
fin312.net,14182,2021,net
fin581.net,8913,2019,net
smart544.org,6690,2022,org
smart239.ai,49301,2019,ai
smart702.tech,51295,2021,tech
neural132.org,75999,2019,org
data539.org,6229,2020,org
neural651.com,48905,2022,com
ai256.io,69319,2015,io
smart134.org,11000,2015,org
fin968.io,38167,2015,io
quant614.net,59474,2018,net
smart817.tech,62595,2020,tech
smart97.io,49988,2019,io
fin627.com,6708,2023,com
neural326.ai,109222,2017,ai
cloud524.io,45824,2016,io
crypto919.tech,83102,2025,tech
neural252.org,65434,2016,org
fin1.ai,25732,2015,ai
block256.org,83097,2023,org
future35.net,11835,2019,net
neural431.com,85429,2022,com
quant667.io,93908,2016,io
future976.net,8796,2019,net
fin313.net,9779,2021,net
data608.tech,43290,2022,tech
data339.org,14664,2021,org
neural288.org,79512,2020,org
crypto968.ai,74840,2025,ai
fin631.ai,45447,2019,ai
fin737.org,14834,2021,org
block131.ai,105545,2018,ai
web973.tech,45605,2017,tech
block964.io,100384,2022,io
web247.net,14545,2022,net
web343.ai,34013,2018,ai
quant155.tech,81637,2024,tech
block792.com,67518,2024,com
block82.io,94030,2017,io
ai444.ai,84988,2024,ai
data920.com,12702,2015,com
future210.com,11151,2024,com
cloud752.ai,47646,2021,ai
health752.io,31397,2021,io
smart347.tech,56963,2018,tech
ai35.net,40741,2016,net
ai490.tech,112011,2018,tech
fin523.org,5635,2015,org
cloud816.ai,46308,2024,ai
crypto340.org,66005,2019,org
ai275.ai,102038,2019,ai
web390.net,14041,2024,net
web275.ai,57205,2015,ai
data100.tech,29326,2022,tech
future25.com,9104,2024,com
quant627.net,47173,2025,net
future176.com,13167,2025,com
smart617.io,61398,2017,io
fin107.ai,34147,2016,ai
block558.org,81975,2024,org
future575.net,5450,2020,net
cloud754.tech,47399,2025,tech
data892.ai,28536,2017,ai
crypto827.tech,110787,2018,tech
crypto784.io,87503,2022,io
ai649.net,43326,2021,net
quant472.io,101176,2025,io
crypto753.tech,64694,2015,tech
cloud150.tech,36017,2019,tech
crypto985.org,85275,2019,org
ai235.org,83035,2018,org
future664.io,31533,2021,io
crypto873.ai,107662,2022,ai
fin984.com,13911,2022,com
future355.io,55749,2016,io
fin275.org,9457,2021,org
data768.io,37427,2019,io
health566.io,51357,2020,io
cloud499.com,10676,2021,com
ai437.org,45837,2023,org
health137.net,14842,2024,net
quant403.org,49186,2024,org
neural505.com,88155,2019,com
ai561.org,52119,2018,org
web773.io,32322,2020,io
future720.ai,36438,2023,ai
smart439.io,37829,2021,io
crypto110.com,66245,2023,com
fin37.net,7324,2018,net
smart143.com,5635,2015,com
quant179.ai,103390,2022,ai
cloud505.com,13867,2017,com
ai647.ai,82208,2025,ai
block283.io,118592,2020,io
fin64.net,10017,2019,net
smart238.com,10595,2015,com
smart641.net,14057,2017,net
data649.com,6411,2015,com
web807.io,45628,2022,io
crypto707.tech,103087,2017,tech
health88.net,5397,2022,net
cloud737.com,6785,2022,com
health934.io,46765,2016,io
cloud804.net,12025,2022,net
health451.org,7715,2019,org
web44.ai,55094,2019,ai
ai711.net,71395,2016,net
health588.io,42855,2018,io
data701.tech,33677,2018,tech
quant186.org,57516,2021,org
cloud448.tech,50454,2024,tech
web779.io,38707,2015,io
cloud458.net,6457,2024,net
block701.ai,77905,2024,ai
neural529.net,49005,2017,net
quant136.net,43542,2015,net
quant532.io,81608,2015,io
block497.org,70991,2017,org
data278.io,38539,2019,io
data693.tech,50299,2020,tech
neural55.net,37835,2015,net
smart705.com,10882,2018,com
future896.net,11365,2020,net
health845.tech,37321,2017,tech
ai229.tech,104336,2021,tech
neural232.com,56935,2021,com
future165.org,7285,2024,org
cloud912.org,13053,2021,org
neural106.org,64302,2020,org
smart960.ai,47925,2017,ai
cloud212.ai,39540,2017,ai
crypto251.org,54507,2017,org
quant379.net,65973,2022,net
health540.io,49559,2020,io
ai895.tech,105600,2025,tech
fin538.org,11868,2025,org
data915.com,9155,2018,com
fin493.io,26655,2025,io
future969.com,9110,2016,com
web475.ai,31543,2025,ai
ai996.io,99095,2023,io
cloud17.com,7572,2023,com
web200.ai,40315,2025,ai
ai614.com,52459,2016,com
fin484.io,42887,2016,io
block199.io,97473,2016,io
block731.tech,62124,2022,tech
health738.ai,24558,2019,ai
data596.com,14680,2017,com
block976.io,80169,2017,io
web985.io,31501,2015,io
data755.net,10070,2025,net
health246.org,11269,2021,org
smart371.tech,37839,2018,tech
quant231.ai,121591,2025,ai
neural199.tech,96349,2022,tech
fin493.io,55575,2018,io
health704.io,54009,2022,io
ai440.io,61231,2015,io
future314.com,5808,2015,com
crypto924.com,91757,2017,com
ai364.org,40011,2016,org
ai671.tech,116240,2018,tech
web852.net,5137,2021,net
smart837.org,8686,2024,org
health142.io,38548,2019,io
fin646.tech,29641,2019,tech
ai478.net,46691,2022,net
health111.com,12638,2023,com
block934.net,54084,2015,net
fin933.ai,32715,2015,ai
quant951.net,39115,2020,net
future332.io,35181,2015,io
quant610.io,91012,2020,io
quant38.tech,87273,2023,tech
web119.ai,44799,2017,ai
cloud765.org,14610,2017,org
neural649.tech,98091,2020,tech
crypto371.net,61229,2025,net
future661.tech,44976,2025,tech
web930.org,14903,2024,org
smart577.com,7642,2024,com
fin672.io,57781,2022,io
fin872.org,7567,2025,org
neural61.io,96854,2025,io
health591.ai,34850,2017,ai
crypto132.net,72482,2025,net
future556.org,12396,2021,org
fin651.org,12394,2021,org
web198.tech,56457,2018,tech
web345.io,50093,2020,io
fin748.com,5409,2021,com
quant533.tech,109364,2023,tech
cloud205.net,14630,2025,net
quant410.org,50433,2018,org
cloud716.net,5222,2025,net
fin737.org,12874,2024,org
crypto522.tech,70154,2025,tech
fin964.org,9354,2024,org
data13.io,44250,2020,io
neural692.io,93306,2025,io
neural981.ai,121112,2019,ai
quant681.org,43275,2021,org
ai374.io,77952,2021,io
web749.com,5816,2017,com
web191.org,10386,2016,org
neural906.net,69385,2021,net
cloud829.net,6220,2021,net
web403.org,12090,2015,org
ai926.com,49293,2017,com
future626.tech,32358,2015,tech
smart922.io,24698,2019,io
health200.ai,53367,2023,ai
smart878.ai,30357,2019,ai
crypto440.ai,127799,2024,ai
future37.org,11515,2021,org
block804.com,70934,2019,com
fin492.org,6908,2015,org
future986.com,14846,2019,com
block305.com,69560,2025,com
block790.ai,102937,2019,ai
ai701.org,84135,2018,org
neural54.net,83749,2020,net
cloud689.com,9501,2015,com
health367.io,50695,2017,io
smart833.ai,48598,2018,ai
cloud520.io,58234,2022,io
block422.org,76044,2020,org
block240.ai,84117,2023,ai
block217.com,62253,2024,com
ai985.com,57101,2017,com
block232.org,54620,2023,org
crypto420.com,47681,2023,com
data950.org,5860,2015,org
health404.ai,41840,2018,ai
fin608.org,8121,2020,org
block410.com,66645,2020,com
fin226.io,36389,2023,io
cloud740.io,24288,2022,io
quant657.tech,66400,2016,tech
fin185.net,13732,2015,net
cloud977.net,8839,2020,net
future374.tech,58513,2025,tech
ai48.tech,78952,2023,tech
data544.ai,49545,2021,ai
cloud997.com,9393,2017,com
neural914.ai,105532,2016,ai
data84.ai,36537,2022,ai
neural291.tech,119383,2020,tech
fin954.io,45465,2022,io
future44.com,13046,2023,com
ai645.ai,93458,2020,ai
future830.tech,37873,2015,tech
quant648.net,45137,2019,net
block337.io,74366,2022,io
future407.net,8731,2023,net
ai117.tech,77744,2015,tech
neural365.ai,133131,2024,ai
data758.org,14242,2025,org
crypto89.io,103843,2024,io
smart919.ai,29261,2024,ai
smart308.org,8502,2025,org
cloud61.io,32641,2025,io
smart63.ai,51134,2024,ai
smart1.io,49187,2016,io
future327.ai,29725,2016,ai
block760.io,104806,2020,io
crypto845.com,80193,2023,com
cloud461.org,10672,2015,org
ai861.net,81735,2022,net
web548.net,5582,2025,net
ai938.org,84773,2015,org
data152.com,5977,2020,com
health940.com,12536,2016,com
cloud514.ai,63614,2025,ai
health976.com,9060,2023,com
block91.com,66072,2023,com
smart141.io,61226,2019,io
health599.com,11195,2018,com
ai567.net,80519,2023,net
crypto705.tech,130352,2015,tech
smart24.io,44785,2015,io
future418.org,9094,2025,org
block898.tech,85645,2023,tech
fin677.com,12792,2019,com
fin555.io,29522,2022,io
block398.io,103139,2025,io
crypto488.com,55604,2017,com
health811.tech,40207,2022,tech
cloud376.io,42745,2017,io
cloud256.io,30975,2021,io
health266.com,13006,2016,com
fin47.tech,45779,2015,tech
future809.com,9762,2020,com
future640.com,11347,2025,com
future959.io,27010,2024,io
smart511.net,10391,2022,net
fin907.tech,30433,2015,tech
future216.ai,44127,2022,ai
data990.tech,32306,2024,tech
ai471.org,77855,2025,org
crypto527.io,82648,2025,io
cloud546.ai,31025,2017,ai
neural2.net,71715,2016,net
neural45.com,61985,2025,com
health749.io,44062,2023,io
cloud545.com,8177,2018,com
data223.io,56053,2018,io
cloud9.io,55972,2024,io
block707.io,65762,2024,io
ai432.tech,103298,2017,tech
neural423.tech,89469,2023,tech
crypto871.io,92215,2024,io
fin421.io,37929,2024,io
fin433.ai,41267,2022,ai
fin885.net,9443,2015,net
fin677.io,41072,2022,io
smart705.net,5064,2020,net
quant600.com,71785,2015,com
ai830.net,66590,2019,net
quant923.io,67409,2016,io
neural133.io,99116,2016,io
cloud994.ai,39275,2024,ai
cloud69.tech,38544,2018,tech
fin18.com,9716,2022,com
block834.io,86620,2019,io
cloud315.io,41152,2024,io
quant955.io,100417,2018,io
block667.net,62343,2015,net
crypto649.org,67462,2016,org
future97.ai,22982,2016,ai
fin577.org,6382,2015,org
fin329.io,52503,2018,io
web834.net,8819,2025,net
health628.org,10399,2016,org
block691.io,63710,2022,io
health725.net,10567,2023,net
cloud576.tech,41720,2021,tech
